Name,1st,2nd,3rd,4th,5th
129,Robot Tour(rank) 16/21, Codebusters(rank) 10/20,,,
130,Fossils(score) 36/37, Geologic Mapping(score) 28.5/36,,,
131,Astronomy(score) 42.5/47, Chemistry Lab(score) 32/54, Dynamic Planet(score) 35/36,,
132,Dynamic Planet(score) 29/36, Name under diag placement for Experimental Design but no test score,,,
133,Chemistry Lab(score) 34/54, Detector Building (rank) 6/13, Astronomy(score) 36.5/47,,
134,Write It Do It(rank) 8/14,,,,
135,Astronomy(score) 35.5/47, Dynamic Planet(score) 27.33/36,,,
136,Wind Power(rank) 5/10, Codebusters(rank) 7/20, Optics(rank) 13/21, Fermi Questions (rank) 16/23,
137,Dynamic Planet(score) 30.67/36, Codebusters(rank) 20/20,,,
138,Ecology(rank) 9/21, Air trajectory(score) 8/15,,,
139,Disease Detectives(score) 57/83, Forensics(rank) 13/33,,,
140,Disease Detectives(score) 50/83, Forestry(score) 21.5/48,,,
141,Forestry(score) 43/48, Air trajectory(score) 14/15, Detector Building (rank) 3/13,
142,Geologic Mapping(score) 34/36, Experimental Design.(rank) 8/18,,,
143,Astronomy(score) 40.5/47, Chemistry Lab(score) 35/54, Anatomy & Physiology (score) 25.5/77,,
144,Forestry(score) 9/48, Ecology (rank) 9/21,,,
145,Disease Detectives(score) 35/83, Forestry(score) 9/48,,,
146,Dynamic Planet (score) 34/36, Fossils (score) 36/37, Astronomy(score) 45.5/47, Geologic Mapping(score) 29/36,
147,Microbe Mission(rank) 20/38, Disease Detectives(score) 40/83,,,
148,Flight(rank) 5/24, Scrambler(score) 14/23, Forestry(score) 12/48,,
149,Chemistry Lab(score) 32/54, Anatomy & Physiology (rank) 16/34,,,
150,Ecology(rank) 9/21, Dynamic Planet (score) 25.67/36,,,
151,Build Director, EM for Scrambler, Wind Power,,
152,Flight(rank) 9/24, Microbe Mission(rank) 9/33, Disease Detectives(score) 35/83,,
153,Anatomy & Physiology(rank) 15/34, Disease Detectives(score) 16.5/83, Experimental Design(rank) 12/18,,
154,Ecology(rank) 4/21, Dynamic Planet(score) 33/36, Anatomy & Physiology(rank) 25/34,,
155,Disease Detectives(score) 30/83, Fermi Questions(rank) 10/23, Microbe Mission(rank) 20/33,,
156,Fermi Questions(rank) 4/23, Astronomy(score) 36.5/47, Anatomy & Physiology(rank) 34/34,,
157,Anatomy & Physiology(rank) 17/34, Chemistry Lab(score) 16/54, Disease Detectives(score) 27/83, Forestry(score) 8.75/48,
158,Fermi Questions (rank) 20/23, Flight (rank) 11/24, Air Trajectory (score) 11/15,,
159,Fermi Questions (rank) 8/23, Flight (rank) 1/24, Air Trajectory (score) 13/15, Tower (score) 33/45, Codebusters (rank) 13/20
160,Anatomy & Physiology (rank) 30/34, Chemistry Lab (score) 17/54, Dynamic Planet (Score) 25/36, Forensics (rank) 26/33,
161,Detector Building (rank) 1/13, Optics (rank) 1/21, Wind Power (rank) 3/10,,
162,Dynamic Planet (Score) 28.67/36, Ecology (rank) 5/21, Fermi Questions (rank) 20/23,,
163,Codebusters (rank) 15/20, Fermi Questions (rank) 9/23,,,
164,Fermi Questions (rank) 3/23, Air Trajectory (Score) 9/15, Tower (score) 39/45,,
